Hotel; URL; Adresse; Note; Image
Hotel Indigo Madrid  Gran Via;http://www.tripadvisor.fr/Hotel_Review-g187514-d4962318-Reviews-Hotel_Indigo_Madrid_Gran_Via-Madrid.html;Calle Silva 6, 28013 Madrid, Espagne ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/05/c1/69/8d/hotel-indigo-madrid-gran.jpg;
ApartoSuites Jardines de Sabatini;http://www.tripadvisor.fr/Hotel_Review-g187514-d1657593-Reviews-ApartoSuites_Jardines_de_Sabatini-Madrid.html;Cuesta de San Vicente 16, 28008 Madrid, Espagne ;3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/04/20/69/bb/aparto-suite-jardines.jpg;
Artrip Hotel;http://www.tripadvisor.fr/Hotel_Review-g187514-d3167750-Reviews-Artrip_Hotel-Madrid.html;Valencia, 11, 28012 Madrid, Espagne ;2.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/03/ef/70/37/artrip-hotel.jpg;
Silken Puerta America;http://www.tripadvisor.fr/Hotel_Review-g187514-d593190-Reviews-Silken_Puerta_America-Madrid.html;Avenida de America 41, 28002 Madrid, Espagne ;5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-fw/05/92/ae/72/lobby--v1672481-17.jpg;
Holiday Inn Madrid - Calle Alcala;http://www.tripadvisor.fr/Hotel_Review-g187514-d282741-Reviews-Holiday_Inn_Madrid_Calle_Alcala-Madrid.html;C/ Alcala 476, 28027 Madrid, Espagne (Anciennement Velada Madrid Hotel);4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/04/14/dd/af/standard-room.jpg;
Urban Hotel Madrid;http://www.tripadvisor.fr/Hotel_Review-g187514-d296957-Reviews-Urban_Hotel_Madrid-Madrid.html;Carrera de San Jeronimo 34, 28014 Madrid, Espagne ;5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/02/4b/09/0c/urban-hotel-madrid-5.jpg;
Hotel Regina;http://www.tripadvisor.fr/Hotel_Review-g187514-d266365-Reviews-Hotel_Regina-Madrid.html;19 Alcala Street, 28014 Madrid, Espagne ;3.0 sur 5;
Hotel Preciados;http://www.tripadvisor.fr/Hotel_Review-g187514-d232819-Reviews-Hotel_Preciados-Madrid.html;C/ Preciados 37, 28013 Madrid, Espagne ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/06/fd/de/55/elmarcorojo.jpg;
Hotel Atlantico;http://www.tripadvisor.fr/Hotel_Review-g187514-d227459-Reviews-Hotel_Atlantico-Madrid.html;Gran Via 38, 28013 Madrid, Espagne ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-fw/05/db/a9/2f/terraces--v2075501.jpg;
Hotel Orfila;http://www.tripadvisor.fr/Hotel_Review-g187514-d232824-Reviews-Hotel_Orfila-Madrid.html;Calle de Orfila 6, 28010 Madrid, Espagne ;5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/e3/9c/9d/hotel-orfila.jpg;
Hotel Claridge;http://www.tripadvisor.fr/Hotel_Review-g187514-d228475-Reviews-Hotel_Claridge-Madrid.html;Plaza Conde de Casal,6, 28007 Madrid, Espagne ;4.0 sur 5;
The Westin Palace Madrid;http://www.tripadvisor.fr/Hotel_Review-g187514-d190569-Reviews-The_Westin_Palace_Madrid-Madrid.html;Plaza de las Cortes 7, 28014 Madrid, Espagne ;5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/04/8e/70/44/the-westin-palace-madrid.jpg;
Catalonia Las Cortes;http://www.tripadvisor.fr/Hotel_Review-g187514-d599363-Reviews-Catalonia_Las_Cortes-Madrid.html;Calle del Prado 6, 28014 Madrid, Espagne ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/f4/34/29/catalonia-las-cortes.jpg;
