Hotel; URL; Adresse; Note; Image
Sofitel Munich Bayerpost;http://www.tripadvisor.fr/Hotel_Review-g187309-d291533-Reviews-Sofitel_Munich_Bayerpost-Munich_Upper_Bavaria_Bavaria.html;Bayerstrasse 12 | 80335 Munich, 80335 Munich, Bavière, Allemagne ;5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/fe/2c/63/sofitel-munich-bayerpost.jpg;
Mandarin Oriental Munich;http://www.tripadvisor.fr/Hotel_Review-g187309-d233835-Reviews-Mandarin_Oriental_Munich-Munich_Upper_Bavaria_Bavaria.html;Neuturmstrasse 1, 80331 Munich, Bavière, Allemagne ;5.0 sur 5;
Hotel Laimer Hof;http://www.tripadvisor.fr/Hotel_Review-g187309-d279562-Reviews-Hotel_Laimer_Hof-Munich_Upper_Bavaria_Bavaria.html;Laimerstrasse 40, 80639 Munich, Bavière, Allemagne ;3.5 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/05/e5/a9/be/hotel-laimer-hof.jpg;
Holiday Inn Munich - City Centre;http://www.tripadvisor.fr/Hotel_Review-g187309-d199646-Reviews-Holiday_Inn_Munich_City_Centre-Munich_Upper_Bavaria_Bavaria.html;Hochstrasse 3, 81669 Munich, Bavière, Allemagne ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/fd/e6/e4/holiday-inn-munich-city.jpg;
H2 Hotel Muenchen Messe;http://www.tripadvisor.fr/Hotel_Review-g187309-d4556651-Reviews-H2_Hotel_Muenchen_Messe-Munich_Upper_Bavaria_Bavaria.html;Olof-Palme-Str. 12, 81829 Munich, Bavière, Allemagne ;3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/04/7c/4a/a5/h2-hotel-munchen-messe.jpg;
Ibis Styles;http://www.tripadvisor.fr/Hotel_Review-g187309-d597521-Reviews-Ibis_Styles-Munich_Upper_Bavaria_Bavaria.html;Kronstadter Strasse 10, 81677 Munich, Bavière, Allemagne ;2.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/fe/02/aa/guest-room.jpg;
The Charles Hotel;http://www.tripadvisor.fr/Hotel_Review-g187309-d656270-Reviews-The_Charles_Hotel-Munich_Upper_Bavaria_Bavaria.html;Sophienstrasse 28, 80333 Munich, Bavière, Allemagne ;5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/03/34/e3/a2/rocco-forte-the-charles.jpg;
Platzl Hotel;http://www.tripadvisor.fr/Hotel_Review-g187309-d228386-Reviews-Platzl_Hotel-Munich_Upper_Bavaria_Bavaria.html;Sparkassenstrasse 10, 80331 Munich, Bavière, Allemagne ;4.5 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/89/24/dd/platzl-hotel.jpg;
Hotel Muenchen Palace;http://www.tripadvisor.fr/Hotel_Review-g187309-d217948-Reviews-Hotel_Muenchen_Palace-Munich_Upper_Bavaria_Bavaria.html;Trogerstrasse 21, 81675 Munich, Bavière, Allemagne ;5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/fd/fd/4e/deluxe-room.jpg;
Jedermann Hotel;http://www.tripadvisor.fr/Hotel_Review-g187309-d232589-Reviews-Jedermann_Hotel-Munich_Upper_Bavaria_Bavaria.html;Bayerstrasse 95, 80335 Munich, Bavière, Allemagne ;2.0 sur 5;
Marc Muenchen;http://www.tripadvisor.fr/Hotel_Review-g187309-d228368-Reviews-Marc_Muenchen-Munich_Upper_Bavaria_Bavaria.html;Senefelderstrasse 12, 80336 Munich, Bavière, Allemagne ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/02/ff/bd/80/marc-munchen-premium.jpg;
