Hotel; URL; Adresse; Note; Image
Hyatt Regency Nice Palais de la Mediterranee;http://www.tripadvisor.fr/Hotel_Review-g187234-d289384-Reviews-Hyatt_Regency_Nice_Palais_de_la_Mediterranee-Nice_French_Riviera_Cote_d_Azur_Provence.html;13 Promenade des Anglais, 06000 Nice, France ;5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/04/2e/7e/55/hyatt-regency-nice-palais.jpg;
Mercure Nice Promenade des Anglais;http://www.tripadvisor.fr/Hotel_Review-g187234-d197190-Reviews-Mercure_Nice_Promenade_des_Anglais-Nice_French_Riviera_Cote_d_Azur_Provence.html;2 rue Halevy, 06000 Nice, France ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/06/2c/6d/aa/guest-room.jpg;
Hotel Negresco;http://www.tripadvisor.fr/Hotel_Review-g187234-d195659-Reviews-Hotel_Negresco-Nice_French_Riviera_Cote_d_Azur_Provence.html;37 Promenade des Anglais, 06000 Nice, France ;5.0 sur 5;
Hotel Nice Riviera;http://www.tripadvisor.fr/Hotel_Review-g187234-d197194-Reviews-Hotel_Nice_Riviera-Nice_French_Riviera_Cote_d_Azur_Provence.html;45 Rue Pastorelli, 06000 Nice, France ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/06/ff/22/f2/hotel-nice-riviera.jpg;
Boscolo Exedra Nice;http://www.tripadvisor.fr/Hotel_Review-g187234-d482672-Reviews-Boscolo_Exedra_Nice-Nice_French_Riviera_Cote_d_Azur_Provence.html;12 Boulevard Victor Hugo, 06000 Nice, France (Anciennement Boscolo Atlantic);5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/01/c5/21/ed/boscolo-exedra-nice.jpg;
Radisson Blu Hotel Nice;http://www.tripadvisor.fr/Hotel_Review-g187234-d197181-Reviews-Radisson_Blu_Hotel_Nice-Nice_French_Riviera_Cote_d_Azur_Provence.html;223 Promenade des Anglais, 06200 Nice, France (Anciennement Radisson SAS);4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/06/b6/6b/06/exterior.jpg;
Grand Hotel le Florence;http://www.tripadvisor.fr/Hotel_Review-g187234-d220181-Reviews-Grand_Hotel_le_Florence-Nice_French_Riviera_Cote_d_Azur_Provence.html;3 rue Paul Deroulede, 06000  Nice, France ;3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/13/4f/6f/grand-hotel-le-florence.jpg;
Hotel La Perouse;http://www.tripadvisor.fr/Hotel_Review-g187234-d263754-Reviews-Hotel_La_Perouse-Nice_French_Riviera_Cote_d_Azur_Provence.html;11 quai Rauba-Capeu, 06300 Nice, France ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/01/cd/f4/e6/vue-solarium.jpg;
Hotel Windsor Nice;http://www.tripadvisor.fr/Hotel_Review-g187234-d219971-Reviews-Hotel_Windsor_Nice-Nice_French_Riviera_Cote_d_Azur_Provence.html;11 rue Dalpozzo, 06000 Nice, France ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/05/fe/f0/56/hotel-windsor-nice.jpg;
Hotel Suisse;http://www.tripadvisor.fr/Hotel_Review-g187234-d232365-Reviews-Hotel_Suisse-Nice_French_Riviera_Cote_d_Azur_Provence.html;15 quai Rauba Capeu | Promenade des Anglais, 06300 Nice, France ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/04/cd/7d/fa/superieur.jpg;
La Villa Nice Victor Hugo;http://www.tripadvisor.fr/Hotel_Review-g187234-d197225-Reviews-La_Villa_Nice_Victor_Hugo-Nice_French_Riviera_Cote_d_Azur_Provence.html;19 bis Boulevard Victor Hugo, 06000 Nice, France ;3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/ef/05/ba/facade.jpg;
BEST WESTERN Hotel Roosevelt;http://www.tripadvisor.fr/Hotel_Review-g187234-d197221-Reviews-BEST_WESTERN_Hotel_Roosevelt-Nice_French_Riviera_Cote_d_Azur_Provence.html;16 Rue Marechal Joffre, 06000 Nice, France (Anciennement Comfort Hotel Roosevelt);3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/04/26/a2/e2/best-western-hotel-roosevelt.jpg;
Le Grimaldi;http://www.tripadvisor.fr/Hotel_Review-g187234-d197193-Reviews-Le_Grimaldi-Nice_French_Riviera_Cote_d_Azur_Provence.html;15 rue Grimaldi, 06000 Nice, France ;4.0 sur 5;
Hotel Villa Victoria;http://www.tripadvisor.fr/Hotel_Review-g187234-d197188-Reviews-Hotel_Villa_Victoria-Nice_French_Riviera_Cote_d_Azur_Provence.html;33 Blvd Victor-Hugo, 06000 Nice, France ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/05/1e/c4/3c/jardin.jpg;
Hotel Massena;http://www.tripadvisor.fr/Hotel_Review-g187234-d197187-Reviews-L_Hotel_Massena-Nice_French_Riviera_Cote_d_Azur_Provence.html;58 rue Gioffredo, 06000 Nice, France ;4.0 sur 5;
Hotel du Petit Palais;http://www.tripadvisor.fr/Hotel_Review-g187234-d219970-Reviews-Hotel_du_Petit_Palais-Nice_French_Riviera_Cote_d_Azur_Provence.html;17, avenue Bieckert, 06000 Nice, France (Anciennement Formerly );3.0 sur 5;
Hotel Westminster;http://www.tripadvisor.fr/Hotel_Review-g187234-d197852-Reviews-Hotel_Westminster-Nice_French_Riviera_Cote_d_Azur_Provence.html;27, Promenade des Anglais, 06000 Nice, France ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/06/fe/0e/e5/baie-des-anges-sea-view.jpg;
Hotel Villa Rivoli;http://www.tripadvisor.fr/Hotel_Review-g187234-d243896-Reviews-Hotel_Villa_Rivoli-Nice_French_Riviera_Cote_d_Azur_Provence.html;10, rue de Rivoli, 06000 Nice, France ;3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/0c/cc/f1/hotel-villa-rivoli.jpg;
Hotel Villa Les Cygnes;http://www.tripadvisor.fr/Hotel_Review-g187234-d736634-Reviews-Hotel_Villa_Les_Cygnes-Nice_French_Riviera_Cote_d_Azur_Provence.html;6 av Chateau de la Tour, 06000 Nice, France ;3.0 sur 5;
Hipark Nice;http://www.tripadvisor.fr/Hotel_Review-g187234-d1865881-Reviews-Hipark_Nice-Nice_French_Riviera_Cote_d_Azur_Provence.html;22 Boulevard General Louis Delfino, 06300 Nice, France ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/01/f0/d7/93/suite-hipark-nice.jpg;
Hotel Vendome;http://www.tripadvisor.fr/Hotel_Review-g187234-d197208-Reviews-Hotel_Vendome-Nice_French_Riviera_Cote_d_Azur_Provence.html;26, rue Pastorelli, 06000 Nice, France ;3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/f7/f9/7d/hotel-vendome.jpg;
Nice Garden Hotel;http://www.tripadvisor.fr/Hotel_Review-g187234-d604431-Reviews-Nice_Garden_Hotel-Nice_French_Riviera_Cote_d_Azur_Provence.html;11 rue du Congres, 06000 Nice, France ;2.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/01/78/27/36/nice-garden-hotel.jpg;
Hotel West End;http://www.tripadvisor.fr/Hotel_Review-g187234-d197184-Reviews-Hotel_West_End-Nice_French_Riviera_Cote_d_Azur_Provence.html;31 Promenade Des Anglais, 06000 Nice, France ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/01/fb/1b/2e/hotel-west-end.jpg;
Ibis Styles Nice Aeroport;http://www.tripadvisor.fr/Hotel_Review-g187234-d1143056-Reviews-Ibis_Styles_Nice_Aeroport-Nice_French_Riviera_Cote_d_Azur_Provence.html;127 boulevard Rene Cassin, 06200 Nice, France ;3.0 sur 5;
