Restaurant; URL; Adresse; Tel; Note;
Naxos Taverna;http://www.tripadvisor.fr/Restaurant_Review-g187309-d2660543-Reviews-Naxos_Taverna-Munich_Upper_Bavaria_Bavaria.html;Verdistrasse 33, 81247 Munich, Bavière, Allemagne ;+49 89 85793920;4.5 5 ;
Vinpasa;http://www.tripadvisor.fr/Restaurant_Review-g187309-d2182818-Reviews-Vinpasa-Munich_Upper_Bavaria_Bavaria.html;Isabellastrasse 47, 80796 Munich, Bavière, Allemagne ;+49 89 27373511;5.0 5 ;
Broeding;http://www.tripadvisor.fr/Restaurant_Review-g187309-d692576-Reviews-Broeding-Munich_Upper_Bavaria_Bavaria.html;Schulstrasse 9, 80634 Munich, Bavière, Allemagne ;+49 89 164238;4.5 5 ;
Taverna Limani;http://www.tripadvisor.fr/Restaurant_Review-g187309-d6638510-Reviews-Taverna_Limani-Munich_Upper_Bavaria_Bavaria.html;Rotdornstrasse 2, 81547 Munich, Bavière, Allemagne ;+49 89 69804072;4.5 5 ;
Restaurant Ilios;http://www.tripadvisor.fr/Restaurant_Review-g187309-d6997144-Reviews-Restaurant_Ilios-Munich_Upper_Bavaria_Bavaria.html;Situlistr 7, 80939 Munich, Bavière, Allemagne ;+49 89 36004112;5.0 5 ;
Dinnerhopping;http://www.tripadvisor.fr/Restaurant_Review-g187309-d4085091-Reviews-Dinnerhopping-Munich_Upper_Bavaria_Bavaria.html;Arnulfstr. 1 | Start und Ende des Erlebnissdinners, 80636 Munich, Bavière, Allemagne ;+49 8122 559912;5.0 5 ;
Mimmo E Co;http://www.tripadvisor.fr/Restaurant_Review-g187309-d6676190-Reviews-Mimmo_E_Co-Munich_Upper_Bavaria_Bavaria.html;Kapuzinerstr. 6, 80337 Munich, Bavière, Allemagne ;(0) 89/ 76701545;4.5 5 ;
Geisels Werneckhof;http://www.tripadvisor.fr/Restaurant_Review-g187309-d2351481-Reviews-Geisels_Werneckhof-Munich_Upper_Bavaria_Bavaria.html;Werneckstrasse 11, 80802 Munich, Bavière, Allemagne ;+49 89 38879568;4.5 5 ;
Zwickl - Gastlichkeit am Viktualienmarkt;http://www.tripadvisor.fr/Restaurant_Review-g187309-d3499387-Reviews-Zwickl_Gastlichkeit_am_Viktualienmarkt-Munich_Upper_Bavaria_Bavaria.html;Dreifaltigkeitsplatz 2, 80331 Munich, Bavière, Allemagne ;+49 89 46228833;4.5 5 ;
Nam Giao 31;http://www.tripadvisor.fr/Restaurant_Review-g187309-d1932566-Reviews-Nam_Giao_31-Munich_Upper_Bavaria_Bavaria.html;Maistrasse 31 | Naehe Sendlinger Tor, 80337 Munich, Bavière, Allemagne ;+49(0)8959988033;4.5 5 ;
Mystikon;http://www.tripadvisor.fr/Restaurant_Review-g187309-d3223828-Reviews-Mystikon-Munich_Upper_Bavaria_Bavaria.html;Walchenseeplatz 4, 81539 Munich, Bavière, Allemagne ;+49 89 62009339;4.5 5 ;
Yuki hana munich;http://www.tripadvisor.fr/Restaurant_Review-g187309-d4781710-Reviews-Yuki_hana_munich-Munich_Upper_Bavaria_Bavaria.html;Stollbergstrasse 6, Munich, Bavière, Allemagne ;498921269018;4.5 5 ;
Hue House;http://www.tripadvisor.fr/Restaurant_Review-g187309-d5523772-Reviews-Hue_House-Munich_Upper_Bavaria_Bavaria.html;Oberläenderstr. 31, 81371 Munich, Bavière, Allemagne ;8976776208;4.5 5 ;
Savanna;http://www.tripadvisor.fr/Restaurant_Review-g187309-d2656918-Reviews-Savanna-Munich_Upper_Bavaria_Bavaria.html;Maistr. 63 | 80337 Munchen, 80337 Munich, Bavière, Allemagne ;+49 89 53906363;4.5 5 ;
Sushi Se;http://www.tripadvisor.fr/Restaurant_Review-g187309-d6714776-Reviews-Sushi_Se-Munich_Upper_Bavaria_Bavaria.html;Agnesstr. 2, 80801 Munich, Bavière, Allemagne ;08928778277;5.0 5 ;
Shane_s Restaurant;http://www.tripadvisor.fr/Restaurant_Review-g187309-d1854149-Reviews-Shane_s_Restaurant-Munich_Upper_Bavaria_Bavaria.html;Geyerstrasse 52, 80469  Munich, Bavière, Allemagne ;089 74 64 68 20;4.5 5 ;
Restaurant Jasmin;http://www.tripadvisor.fr/Restaurant_Review-g187309-d1905582-Reviews-Restaurant_Jasmin-Munich_Upper_Bavaria_Bavaria.html;Lindwurmstrasse 167, 80337  Munich, Bavière, Allemagne ;089 76775712;4.5 5 ;
Kleinschmecker;http://www.tripadvisor.fr/Restaurant_Review-g187309-d6774415-Reviews-Kleinschmecker-Munich_Upper_Bavaria_Bavaria.html;Sebastiansplatz 3 | 80331 Munchern, 80331 Munich, Bavière, Allemagne ;+49 89 26949120;4.5 5 ;
Der Verrueckte Eismacher;http://www.tripadvisor.fr/Restaurant_Review-g187309-d3805135-Reviews-Der_Verrueckte_Eismacher-Munich_Upper_Bavaria_Bavaria.html;Amalienstrasse 77, Munich, Bavière, Allemagne ;4.5 5 ;
P.Korn;http://www.tripadvisor.fr/Restaurant_Review-g187309-d3489142-Reviews-P_Korn-Munich_Upper_Bavaria_Bavaria.html;Gabrielenstrasse 6, 80636 Munich, Bavière, Allemagne ;+49 89 99930319;4.5 5 ;
restaurant amber;http://www.tripadvisor.fr/Restaurant_Review-g187309-d6103934-Reviews-Restaurant_amber-Munich_Upper_Bavaria_Bavaria.html;Ostpreussen Str. 45 | ., 81927 Munich, Bavière, Allemagne ;+(49)89 99939775;5.0 5 ;
Kreta Grill;http://www.tripadvisor.fr/Restaurant_Review-g187309-d983425-Reviews-Kreta_Grill-Munich_Upper_Bavaria_Bavaria.html;Nordendstraße 60, 80801 Munich, Bavière, Allemagne ;089 / 271 52 02;5.0 5 ;
Wirtshaus Kurgarten;http://www.tripadvisor.fr/Restaurant_Review-g187309-d1178760-Reviews-Wirtshaus_Kurgarten-Munich_Upper_Bavaria_Bavaria.html;De-la-Paz-Strasse 10, 80639  Munich, Bavière, Allemagne ;089-17999081 ;4.5 5 ;
Bibulus;http://www.tripadvisor.fr/Restaurant_Review-g187309-d1346226-Reviews-Bibulus-Munich_Upper_Bavaria_Bavaria.html;Siegfriedstr. 11, 80803 Munich, Bavière, Allemagne ;+49 89 396447;4.5 5 ;
beach38;http://www.tripadvisor.fr/Restaurant_Review-g187309-d3249941-Reviews-Beach38-Munich_Upper_Bavaria_Bavaria.html;Friedenstrasse 22c | 81671, Munich, Bavière, Allemagne ;4.5 5 ;
Dallmayr;http://www.tripadvisor.fr/Restaurant_Review-g187309-d695601-Reviews-Dallmayr-Munich_Upper_Bavaria_Bavaria.html;Dienerstr. 14-15, Munich, Bavière, Allemagne ;089-213-50-;4.5 5 ;
Gourmet Restaurant Koenigshof;http://www.tripadvisor.fr/Restaurant_Review-g187309-d983174-Reviews-Gourmet_Restaurant_Koenigshof-Munich_Upper_Bavaria_Bavaria.html;Karlsplatz 25, 80335 Munich, Bavière, Allemagne ;+49 89 55136141;4.5 5 ;
Nostos;http://www.tripadvisor.fr/Restaurant_Review-g187309-d2721198-Reviews-Nostos-Munich_Upper_Bavaria_Bavaria.html;Blutenburgstrasse 2, 80636 Munich, Bavière, Allemagne ;+49 89 12027766;4.5 5 ;
