Restaurant; URL; Adresse; Tel; Note;
Le Reminet;http://www.tripadvisor.fr/Restaurant_Review-g187147-d719235-Reviews-Le_Reminet-Paris_Ile_de_France.html;3,rue des Grands-Degres, 75005 Paris, France ;01 44 07 04 24;4.5 5 ;
Epicure;http://www.tripadvisor.fr/Restaurant_Review-g187147-d719052-Reviews-Epicure-Paris_Ile_de_France.html;112 rue du Faubourg Saint Honoré, 75008 Paris, France ;+33 (0)1 53 43 43 40;5.0 5 ;
Garnett;http://www.tripadvisor.fr/Restaurant_Review-g187147-d7233108-Reviews-Garnett-Paris_Ile_de_France.html;85 Rue Cardinet, Paris, France ;09 67 14 82 20;5.0 5 ;
Seb on;http://www.tripadvisor.fr/Restaurant_Review-g187147-d6958622-Reviews-Seb_on-Paris_Ile_de_France.html;62 rue d'Orsel, 75018 Paris, France ;+33 1 42 59 74 32;5.0 5 ;
Le Cinq;http://www.tripadvisor.fr/Restaurant_Review-g187147-d699456-Reviews-Le_Cinq-Paris_Ile_de_France.html;31, avenue George V | Four Seasons Hotel George V, 75008 Paris, France ;+33 (1) 49 52 71 54;4.5 5 ;
Il Etait Un Square;http://www.tripadvisor.fr/Restaurant_Review-g187147-d6575305-Reviews-Il_Etait_Un_Square-Paris_Ile_de_France.html;54 Rue Corvisart, 75013 Paris, France ;0143376807;5.0 5 ;
Sacree fleur;http://www.tripadvisor.fr/Restaurant_Review-g187147-d6633751-Reviews-Sacree_Fleur-Paris_Ile_de_France.html;50 rue de Clignancourt, 75018 Paris, France ;+33 1 42 51 66 18;4.5 5 ;
Sathees;http://www.tripadvisor.fr/Restaurant_Review-g187147-d6557109-Reviews-Sathees-Paris_Ile_de_France.html;Marche Alimentaire Saint-Germain | 4 - 8 rue Lobineau, 75006 Paris, France ;+33 1 56 81 70 07;5.0 5 ;
Bistrotters;http://www.tripadvisor.fr/Restaurant_Review-g187147-d719507-Reviews-Bistrotters-Paris_Ile_de_France.html;9, rue Decres, 75014 Paris, France ;+33 1 45 45 58 59;4.5 5 ;
L Ange 20 Restaurant;http://www.tripadvisor.fr/Restaurant_Review-g187147-d2042295-Reviews-L_Ange_20_Restaurant-Paris_Ile_de_France.html;8 Rue Geoffroy L'Angevin, 75004 Paris, France ;+33 (0)1 40 27 93 67;4.5 5 ;
Bar Italia Brasserie;http://www.tripadvisor.fr/Restaurant_Review-g187147-d3842915-Reviews-Bar_Italia_Brasserie-Paris_Ile_de_France.html;22 Rue Moncey, 75009 Paris, France ;+33 1 83 97 25 85 ;4.5 5 ;
Le 114 Faubourg;http://www.tripadvisor.fr/Restaurant_Review-g187147-d2013853-Reviews-Le_114_Faubourg-Paris_Ile_de_France.html;114 rue du Faubourg Saint Honore, 75008 Paris, France ;+33 1 53434300;4.5 5 ;
Le Sixieme Sens;http://www.tripadvisor.fr/Restaurant_Review-g187147-d5889030-Reviews-Le_Sixieme_Sens-Paris_Ile_de_France.html;43, rue de la Roquette, Bastille, 75011 Paris, France ;09 83 88 63 52;4.5 5 ;
Bateau le Calife;http://www.tripadvisor.fr/Restaurant_Review-g187147-d951228-Reviews-Bateau_le_Calife-Paris_Ile_de_France.html;Amarré Port de Saints-Pères | Pont des Arts, 75006 Paris, France ;+33 (0)1 43 54 50 04;4.5 5 ;
La Veraison;http://www.tripadvisor.fr/Restaurant_Review-g187147-d2431710-Reviews-La_Veraison-Paris_Ile_de_France.html;64 Rue de la Croix Nivert, Paris, France ;+33 1 45 32 39 39;4.5 5 ;
Le Vaisseau Vert;http://www.tripadvisor.fr/Restaurant_Review-g187147-d6856452-Reviews-Le_Vaisseau_Vert-Paris_Ile_de_France.html;10, Rue de Parme, 75009 Paris, France ;+33 6 01 13 17 91;5.0 5 ;
Le Jamoncito;http://www.tripadvisor.fr/Restaurant_Review-g187147-d6802665-Reviews-Le_Jamoncito-Paris_Ile_de_France.html;13 Rue Quincampoix, Paris, France ;0142710308;5.0 5 ;
Cobea;http://www.tripadvisor.fr/Restaurant_Review-g187147-d2320662-Reviews-Cobea-Paris_Ile_de_France.html;11, rue Raymond Losserand, 75014  Paris, France ;+33 1 43 20 21 39 ;4.5 5 ;
Le Diane;http://www.tripadvisor.fr/Restaurant_Review-g187147-d2286587-Reviews-Le_Diane-Paris_Ile_de_France.html;46 avenue George V, 75008 Paris, France ;01 40 69 60 60;4.5 5 ;
La Mie Cale;http://www.tripadvisor.fr/Restaurant_Review-g187147-d5787827-Reviews-La_Mie_Cale-Paris_Ile_de_France.html;132 Boulevard du Montparnasse, 75014 Paris, France ;+33 1 43 20 02 90;5.0 5 ;
Brasseria Italiana - Punto Giusto;http://www.tripadvisor.fr/Restaurant_Review-g187147-d6168613-Reviews-Brasseria_Italiana_Punto_Giusto-Paris_Ile_de_France.html;7 Rue de la Cerisaie, 75004 Paris, France ;0142785647;5.0 5 ;
MiPi Pizzeria;http://www.tripadvisor.fr/Restaurant_Review-g187147-d7122280-Reviews-MiPi_Pizzeria-Paris_Ile_de_France.html;11 rue Danielle Casanova | Ouver, 75001 Paris, France ;+33 1 42 86 80 80;5.0 5 ;
Bespoke;http://www.tripadvisor.fr/Restaurant_Review-g187147-d6500714-Reviews-Bespoke-Paris_Ile_de_France.html;3 Rue Oberkampf, 75011 Paris, France ;+33 1 58 30 88 59;4.5 5 ;
Chez Toinette;http://www.tripadvisor.fr/Restaurant_Review-g187147-d715006-Reviews-Chez_Toinette-Paris_Ile_de_France.html;20, rue Germain Pilon, Paris Montmartre, 75018 Paris, France ;+33 1 42 54 44 36;4.5 5 ;
L Aubergeade;http://www.tripadvisor.fr/Restaurant_Review-g187147-d718040-Reviews-L_Aubergeade-Paris_Ile_de_France.html;Rue de Chaligny, Paris, France ;01 43 44 33 36;4.5 5 ;
L inattendu;http://www.tripadvisor.fr/Restaurant_Review-g187147-d6475397-Reviews-L_inattendu-Paris_Ile_de_France.html;13 Rue St Paul, 75004 Paris, France ;06 63 35 84 21;5.0 5 ;
Jeremie;http://www.tripadvisor.fr/Restaurant_Review-g187147-d6538833-Reviews-Jeremie-Paris_Ile_de_France.html;33, rue de Longchamp, 75116 Paris, France ;+(33)147049681;4.5 5 ;
Les Papilles;http://www.tripadvisor.fr/Restaurant_Review-g187147-d719540-Reviews-Les_Papilles-Paris_Ile_de_France.html;30 Rue Gay-Lussac, 75005 Paris, France ;+33 1 43 25 20 79;4.5 5 ;
Restaurant Mariette;http://www.tripadvisor.fr/Restaurant_Review-g187147-d1897962-Reviews-Restaurant_Mariette-Paris_Ile_de_France.html;24 Rue Bosquet, 75007 Paris, France ;01 45 51 78 82;4.5 5 ;
