Hotel; URL; Adresse; Note; Image
Gran Hotel Torre Catalunya;http://www.tripadvisor.fr/Hotel_Review-g187497-d289670-Reviews-Gran_Hotel_Torre_Catalunya-Barcelona_Catalonia.html;Avda de Roma 2-4, 08014 Barcelone, Espagne ;4.5 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/02/75/cb/67/todas-las-habitaciones.jpg;
W Barcelona;http://www.tripadvisor.fr/Hotel_Review-g187497-d1465497-Reviews-W_Barcelona-Barcelona_Catalonia.html;Placa de la Rosa dels Vents, 1, 08039 Barcelone, Espagne ;5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/05/b6/2a/48/exterior.jpg;
Acta Ink 606 Barcelona;http://www.tripadvisor.fr/Hotel_Review-g187497-d1999376-Reviews-Acta_Ink_606_Barcelona-Barcelona_Catalonia.html;C/ Mallorca, 606, 08026 Barcelone, Espagne ;3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-fw/05/89/ee/dd/front-desk--v1646833-35.jpg;
Barcelona Princess;http://www.tripadvisor.fr/Hotel_Review-g187497-d1227764-Reviews-Barcelona_Princess-Barcelona_Catalonia.html;Avenida Diagonal 1-3, 8019 Barcelone, Espagne ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-fw/05/8a/2e/57/front-desk--v1644999-21.jpg;
Olivia Balmes Hotel;http://www.tripadvisor.fr/Hotel_Review-g187497-d4569039-Reviews-Olivia_Balmes_Hotel-Barcelona_Catalonia.html;Balmes 117, 08008 Barcelone, Espagne ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/05/4c/ea/83/exterior-view-recortada.jpg;
Hotel 1898;http://www.tripadvisor.fr/Hotel_Review-g187497-d506158-Reviews-Hotel_1898-Barcelona_Catalonia.html;La Rambla, 109, 08002 Barcelone, Espagne ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/02/59/01/89/exterior-hotel-1898.jpg;
Barcelo Sants;http://www.tripadvisor.fr/Hotel_Review-g187497-d228507-Reviews-Barcelo_Sants-Barcelona_Catalonia.html;Pl Països Catalans, Estacion Barcelona Sants, 08014 Barcelone, Espagne ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/fd/de/c1/guest-room.jpg;
Mercer Hotel Barcelona;http://www.tripadvisor.fr/Hotel_Review-g187497-d3400654-Reviews-Mercer_Hotel_Barcelona-Barcelona_Catalonia.html;Calle dels Lledó 7, 08002 Barcelone, Espagne ;5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-fw/06/15/2f/45/pool--v2271401.jpg;
EuroPark Hotel;http://www.tripadvisor.fr/Hotel_Review-g187497-d232781-Reviews-EuroPark_Hotel-Barcelona_Catalonia.html;Arago 325, 08009 Barcelone, Espagne ;3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-fw/05/dc/bb/e1/front-desk--v2066697.jpg;
Hotel Primero Primera;http://www.tripadvisor.fr/Hotel_Review-g187497-d2367494-Reviews-Hotel_Primero_Primera-Barcelona_Catalonia.html;C/ Doctor Carulla 25-29, 08017 Barcelone, Espagne ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/05/ef/72/1b/hotel-primero-primera.jpg;
