Hotel; URL; Adresse; Note; Image
Hotel Joyce Astotel;http://www.tripadvisor.fr/Hotel_Review-g187147-d1631156-Reviews-Hotel_Joyce_Astotel-Paris_Ile_de_France.html;29 rue la Bruyere, 75009 Paris, France ;3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/82/8a/0e/hotel-joyce-astotel.jpg
Le 123 Sebastopol Astotel ;http://www.tripadvisor.fr/Hotel_Review-g187147-d4800782-Reviews-Le_123_Sebastopol_Astotel-Paris_Ile_de_France.html;123, boulevard de Sébastopol, 75002 Paris, France ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/82/8c/47/le-123-sebastopol-astotel.jpg
Seven Hotel Paris;http://www.tripadvisor.fr/Hotel_Review-g187147-d625550-Reviews-Seven_Hotel_Paris-Paris_Ile_de_France.html;20 rue Berthollet, 75005 Paris, France ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/03/89/0b/46/james-bond.jpg
Atelier Montparnasse;http://www.tripadvisor.fr/Hotel_Review-g187147-d233383-Reviews-Atelier_Montparnasse-Paris_Ile_de_France.html;84, rue Raymond Losserand | 14th Arr., 75014 Paris, France ;3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/07/32/77/20/atelier-montparnasse.jpg
Hotel Felicien by Elegancia;http://www.tripadvisor.fr/Hotel_Review-g187147-d4107097-Reviews-Hotel_Felicien_by_Elegancia-Paris_Ile_de_France.html;21 rue Felicien David, 75016 Paris, France ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/fe/1e/6e/chambre-collection-etage.jpg
Hotel Plaza Athenee;http://www.tripadvisor.fr/Hotel_Review-g187147-d188730-Reviews-Hotel_Plaza_Athenee-Paris_Ile_de_France.html;25 avenue Montaigne | 25 Avenue Montaigne, 75008 Paris, 75008 Paris, France ;5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/07/26/b0/54/facade-plaza-athenee.jpg
Grand Hotel Francais;http://www.tripadvisor.fr/Hotel_Review-g187147-d197447-Reviews-Grand_Hotel_Francais-Paris_Ile_de_France.html;223 Boulevard Voltaire | 11th Arr., 75011 Paris, France ;3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/03/c9/bb/7a/grand-hotel-francais.jpg
Home Moderne;http://www.tripadvisor.fr/Hotel_Review-g187147-d1639825-Reviews-Home_Moderne-Paris_Ile_de_France.html;61, rue Brancion, 75015 Paris, France ;2.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-fw/06/57/11/87/garden--v2303295.jpg
Secret de Paris;http://www.tripadvisor.fr/Hotel_Review-g187147-d1633522-Reviews-Secret_de_Paris-Paris_Ile_de_France.html;2, rue de Parme, 75009  Paris, France ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/02/3b/c9/76/facade.jpg
Five Hotel;http://www.tripadvisor.fr/Hotel_Review-g187147-d621170-Reviews-The_Five_Hotel-Paris_Ile_de_France.html;3, rue Flatters, 75005 Paris, France (Anciennement The Five Hotel by Elegancia);3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-fw/05/89/6d/c2/lobby--v1618514-39.jpg
