Restaurant; URL; Adresse; Tel; Note;
Todo Pasa | Jusqu'à 50 % de réduction;http://www.tripadvisor.fr/Restaurant_Review-g187497-d6561880-Reviews-Todo_Pasa-Barcelona_Catalonia.html/;Vila I Vila, 53 Paral-Lel, 08004 Barcelone, Espagne ;933 284 692;4.5 5 étoiles;
Todo Pasa | Jusqu'à 50 % de réduction;http://www.tripadvisor.fr/Restaurant_Review-g187497-d6561880-Reviews-Todo_Pasa-Barcelona_Catalonia.html/;Vila I Vila, 53 Paral-Lel, 08004 Barcelone, Espagne ;933 284 692;4.5 5 étoiles;
Disfrutar;http://www.tripadvisor.fr/Restaurant_Review-g187497-d7281314-Reviews-Disfrutar-Barcelona_Catalonia.html/;C/ Villarroel, 163, 08036 Barcelone, Espagne ;+(34)933486896;5.0 5 étoiles;
Petit Pau Restaurant;http://www.tripadvisor.fr/Restaurant_Review-g187497-d5484912-Reviews-Petit_Pau_Restaurant-Barcelona_Catalonia.html/;Carrer de l'Espanya Industrial num. 22, 08014 Barcelone, Espagne ;+34 933 31 32 75;5.0 5 étoiles;
Tast-Ller;http://www.tripadvisor.fr/Restaurant_Review-g187497-d6482227-Reviews-Tast_Ller-Barcelona_Catalonia.html/;Barri Gotic, 08002 Barcelone, Espagne ;+34 663 83 37 17;5.0 5 étoiles;
CUARTO y MITAD;http://www.tripadvisor.fr/Restaurant_Review-g187497-d6916095-Reviews-CUARTO_y_MITAD-Barcelona_Catalonia.html/;C/ Nou de la Ramba, 146 | 08004, 08004 Barcelone, Espagne ;+34 931 88 90 67;5.0 5 étoiles;
Restaurant Montiel;http://www.tripadvisor.fr/Restaurant_Review-g187497-d1205006-Reviews-Restaurant_Montiel-Barcelona_Catalonia.html/;C/ Flassaders 19, 08003 Barcelone, Espagne ;+34 932 68 37 29;4.5 5 étoiles;
Spoonik;http://www.tripadvisor.fr/Restaurant_Review-g187497-d6278428-Reviews-Spoonik-Barcelona_Catalonia.html/;Plaza Lesseps S/N, 08023 Barcelone, Espagne ;+34 648 08 52 09;4.5 5 étoiles;
Restaurante Arume;http://www.tripadvisor.fr/Restaurant_Review-g187497-d6839857-Reviews-Restaurante_Arume-Barcelona_Catalonia.html/;Calle Botella, 11-13, 08001 Barcelone, Espagne ;+34 933 15 48 72;4.5 5 étoiles;
Restaurante Margherita;http://www.tripadvisor.fr/Restaurant_Review-g187497-d5820198-Reviews-Restaurante_Margherita-Barcelona_Catalonia.html/;Carrer del Rossello, 253, 08008 Barcelone, Espagne ;34 936 11 56 67;4.5 5 étoiles;
The Box;http://www.tripadvisor.fr/Restaurant_Review-g187497-d5820228-Reviews-The_Box-Barcelona_Catalonia.html/;Carrer D'en Gignas 30, 08002 Barcelone, Espagne ;+34 933 19 67 17;4.5 5 étoiles;
Restaurante Lasarte;http://www.tripadvisor.fr/Restaurant_Review-g187497-d809578-Reviews-Restaurante_Lasarte-Barcelona_Catalonia.html/;C/ Mallorca, 259, 08008 Barcelone, Espagne ;(+34) 93 445 32 42;4.5 5 étoiles;
Accés;http://www.tripadvisor.fr/Restaurant_Review-g187497-d6277239-Reviews-Acces-Barcelona_Catalonia.html/;Aribau 55, 08011 Barcelone, Espagne ;+34 691 01 56 67;4.5 5 étoiles;
Con Gracia;http://www.tripadvisor.fr/Restaurant_Review-g187497-d697505-Reviews-Con_Gracia-Barcelona_Catalonia.html/;Martinez de la Rosa 8, 08012 Barcelone, Espagne ;93 238 0201;4.5 5 étoiles;
Cientoocho;http://www.tripadvisor.fr/Restaurant_Review-g187497-d4734463-Reviews-Cientoocho-Barcelona_Catalonia.html/;carrer Girona 108, 08009 Barcelone, Espagne ;+34 932 50 73 03;4.5 5 étoiles;
Domino Bar;http://www.tripadvisor.fr/Restaurant_Review-g187497-d3753321-Reviews-Domino_Bar-Barcelona_Catalonia.html/;Carrer de Les Flors, 16, 08001 Barcelone, Espagne ;+34 696 46 17 25;4.5 5 étoiles;
La Forquilla;http://www.tripadvisor.fr/Restaurant_Review-g187497-d2578464-Reviews-La_Forquilla-Barcelona_Catalonia.html/;C/ Pere IV, 210, Barcelone, Espagne ;93.300.79.80;4.5 5 étoiles;
napa;http://www.tripadvisor.fr/Restaurant_Review-g187497-d7131299-Reviews-Napa-Barcelona_Catalonia.html/;Aribau 151, 08036 Barcelone, Espagne ;+34 933 48 36 52;4.5 5 étoiles;
Cera 23;http://www.tripadvisor.fr/Restaurant_Review-g187497-d2314335-Reviews-Cera_23-Barcelona_Catalonia.html/;Carrer de la Cera, 23, 08001 Barcelone, Espagne ;+34 934 42 08 08;4.5 5 étoiles;
Miseria e Nobilta;http://www.tripadvisor.fr/Restaurant_Review-g187497-d7158449-Reviews-Miseria_e_Nobilta-Barcelona_Catalonia.html/;C/ Dels Enamorats, N° 112, 08026 Barcelone, Espagne ;93.500.99.68;5.0 5 étoiles;
Piazze D'Italia;http://www.tripadvisor.fr/Restaurant_Review-g187497-d997375-Reviews-Piazze_D_Italia-Barcelona_Catalonia.html/;Carrer de Casanova, 94, 08011 Barcelone, Espagne ;+34 933 23 59 77;4.5 5 étoiles;
SantaGula;http://www.tripadvisor.fr/Restaurant_Review-g187497-d2518790-Reviews-SantaGula-Barcelona_Catalonia.html/;Plaza Narcis Oller, 3, 08006 Barcelone, Espagne ;+34 931 85 76 49;4.5 5 étoiles;
336;http://www.tripadvisor.fr/Restaurant_Review-g187497-d3635934-Reviews-336-Barcelona_Catalonia.html/;Consell de Cent 336, 08009 Barcelone, Espagne ;+34 934 67 67 35;4.5 5 étoiles;
Las 7 Maravillas;http://www.tripadvisor.fr/Restaurant_Review-g187497-d4137816-Reviews-Las_7_Maravillas-Barcelona_Catalonia.html/;Gran via de les Corts Catalanes 682, 08010 Barcelone, Espagne ;+34 931 19 18 07;4.5 5 étoiles;
Carabassa Restaurant;http://www.tripadvisor.fr/Restaurant_Review-g187497-d3357229-Reviews-Carabassa_Restaurant-Barcelona_Catalonia.html/;Carabassa 19, 08002 Barcelone, Espagne ;933025204;4.5 5 étoiles;
Koy Shunka;http://www.tripadvisor.fr/Restaurant_Review-g187497-d1471799-Reviews-Koy_Shunka-Barcelona_Catalonia.html/;Carrer de Copons, 08002 Barcelone, Espagne ;93 412 79 39;4.5 5 étoiles;
Robadora;http://www.tripadvisor.fr/Restaurant_Review-g187497-d7234138-Reviews-Robadora-Barcelona_Catalonia.html/;Robador 18 | Sant Rafael 7, 08001 Barcelone, Espagne ;932529639;4.5 5 étoiles;
Buenos Aires Grill Restaurant;http://www.tripadvisor.fr/Restaurant_Review-g187497-d6413496-Reviews-Buenos_Aires_Grill_Restaurant-Barcelona_Catalonia.html/;Carrer de València, 189, 08011 Barcelone, Espagne ;+34 933 28 46 33;4.5 5 étoiles;
Carlota Akaneya;http://www.tripadvisor.fr/Restaurant_Review-g187497-d2369018-Reviews-Carlota_Akaneya-Barcelona_Catalonia.html/;Pintor Fortuny 32, 08001 Barcelone, Espagne ;+34 933 02 77 68;4.5 5 étoiles;
aQistoi;http://www.tripadvisor.fr/Restaurant_Review-g187497-d4453379-Reviews-AQistoi-Barcelona_Catalonia.html/;Gerona 94, 08009 Barcelone, Espagne ;+34 931 40 33 50;4.5 5 étoiles;
Collage Barcelona;http://www.tripadvisor.fr/Restaurant_Review-g187497-d3747470-Reviews-Collage_Barcelona-Barcelona_Catalonia.html/;C/ Consellers 4, 08003 Barcelone, Espagne (Anciennement Collage Art & Cocktails Social Club);+34 931 79 37 85;5.0 5 étoiles;
Why Not Cocktail Bar;http://www.tripadvisor.fr/Restaurant_Review-g187497-d5795008-Reviews-Why_Not_Cocktail_Bar-Barcelona_Catalonia.html/;353, Diagonal Avenue | Barcelona, Spain, 08037 Barcelone, Espagne ;+34 692 25 66 46;5.0 5 étoiles;
