Restaurant; URL; Adresse; Tel; Note;
Comics Cafe | Jusqu'à 30 % de réduction;http://www.tripadvisor.fr/Restaurant_Review-g188644-d2351600-Reviews-Comics_Cafe-Brussels.html/;Place du Grand Sablon, 8, Bruxelles 1000, Belgique ;02 513 13 23;
Comics Cafe | Jusqu'à 30 % de réduction;http://www.tripadvisor.fr/Restaurant_Review-g188644-d2351600-Reviews-Comics_Cafe-Brussels.html/;Place du Grand Sablon, 8, Bruxelles 1000, Belgique ;02 513 13 23;
Stirwen;http://www.tripadvisor.fr/Restaurant_Review-g188644-d1128569-Reviews-Stirwen-Brussels.html/;chaussée saint-pierre, Bruxelles 1040, Belgique ;+32 2 640 85 41;5.0 5 étoiles;
C'est Bon C'est Belge - La Terrasse;http://www.tripadvisor.fr/Restaurant_Review-g188644-d7155469-Reviews-C_est_Bon_C_est_Belge_La_Terrasse-Brussels.html/;3/5 Rue de Rollebeek, Bruxelles 1000, Belgique ;+(32)2/512.29.99;4.5 5 étoiles;
Le Wine Bar du Sablon des Marolles;http://www.tripadvisor.fr/Restaurant_Review-g188644-d1635467-Reviews-Le_Wine_Bar_du_Sablon_des_Marolles-Brussels.html/;Rue Haute 198, Bruxelles 1000, Belgique (Anciennement Le Wine Bar du Sablon);+32 (0)496 82 01 05;4.5 5 étoiles;
Tonton Garby;http://www.tripadvisor.fr/Restaurant_Review-g188644-d5826726-Reviews-Tonton_Garby-Brussels.html/;6 Duquesnoy, Bruxelles 1000, Belgique ;0484-29.02.16 ;5.0 5 étoiles;
Aksum Coffee House;http://www.tripadvisor.fr/Restaurant_Review-g188644-d2207931-Reviews-Aksum_Coffee_House-Brussels.html/;Rue des Eperonniers/Spoormakersstraat 60, Bruxelles 1000, Belgique ;4.5 5 étoiles;
My Little Cup;http://www.tripadvisor.fr/Restaurant_Review-g188644-d6995372-Reviews-My_Little_Cup-Brussels.html/;Rue de la Croix de Fer, 53, Bruxelles 1000, Belgique ;483015660;5.0 5 étoiles;
Le Second Degré;http://www.tripadvisor.fr/Restaurant_Review-g188644-d5927690-Reviews-Le_Second_Degre-Brussels.html/;15, Avenue Legrand, Bruxelles 1000, Belgique ;+(32)2 647 29 47;4.5 5 étoiles;
Rock Salt Chilli Peppers;http://www.tripadvisor.fr/Restaurant_Review-g188644-d6678011-Reviews-Rock_Salt_Chilli_Peppers-Brussels.html/;34-36, Rue des Cultes, Bruxelles 1000, Belgique ;+32 2 201 54 00;4.5 5 étoiles;
Bon-bon;http://www.tripadvisor.fr/Restaurant_Review-g188644-d800348-Reviews-Bon_bon-Brussels.html/;avenue de Tervueren 453, Bruxelles 1150, Belgique ;003223466615;4.5 5 étoiles;
La Maison Corica;http://www.tripadvisor.fr/Restaurant_Review-g188644-d5541824-Reviews-La_Maison_Corica-Brussels.html/;Rue marche aux poulets 49, Bruxelles, Belgique ;5.0 5 étoiles;
Pasta Divina;http://www.tripadvisor.fr/Restaurant_Review-g188644-d2208064-Reviews-Pasta_Divina-Brussels.html/;Bergstraat 16 (rue de la montagne 16), Bruxelles 1000, Belgique ;003225112155;4.5 5 étoiles;
Moeder Lambic Fontainas;http://www.tripadvisor.fr/Restaurant_Review-g188644-d2258297-Reviews-Moeder_Lambic_Fontainas-Brussels.html/;8 place Fontainas, Bruxelles 1000, Belgique ;+32 2 503 60 68;4.5 5 étoiles;
Moeder Lambic;http://www.tripadvisor.fr/Restaurant_Review-g188644-d1440912-Reviews-Moeder_Lambic-Brussels.html/;68, Rue de Savoie, Bruxelles 1060, Belgique ;02 53 91 41 9;4.5 5 étoiles;
Comme Chez Soi;http://www.tripadvisor.fr/Restaurant_Review-g188644-d691977-Reviews-Comme_Chez_Soi-Brussels.html/;place Rouppe 23, Bruxelles 1000, Belgique ;+32 2 512 29 21;4.5 5 étoiles;
Neuhaus Galerie de la Reine - Salon de Chocolat;http://www.tripadvisor.fr/Restaurant_Review-g188644-d4059377-Reviews-Neuhaus_Galerie_de_la_Reine_Salon_de_Chocolat-Brussels.html/;Galerie de la Reine 29, Bruxelles 1000, Belgique ;+32 (0) 2 502 92 82;4.5 5 étoiles;
Peck 47;http://www.tripadvisor.fr/Restaurant_Review-g188644-d6577463-Reviews-Peck_47-Brussels.html/;Rue Marche Aux Poulets 47, Bruxelles 1000, Belgique ;+32 2 513 02 87;4.5 5 étoiles;
Mati;http://www.tripadvisor.fr/Restaurant_Review-g188644-d6484830-Reviews-Mati-Brussels.html/;43, rue Duquesnoy, Bruxelles 1000, Belgique ;+32(0)2/540.87.71;4.5 5 étoiles;
Winehouse Osteria;http://www.tripadvisor.fr/Restaurant_Review-g188644-d6475366-Reviews-Winehouse_Osteria-Brussels.html/;Rue de la Grande Ile 42, Bruxelles 1000, Belgique ;+32 2 350 09 21;4.5 5 étoiles;
Poechenellekelder;http://www.tripadvisor.fr/Restaurant_Review-g188644-d3707111-Reviews-Poechenellekelder-Brussels.html/;Rue du Chene 5, Bruxelles 1000, Belgique ;+32 2 511 92 62;4.5 5 étoiles;
Noordzee Mer du Nord;http://www.tripadvisor.fr/Restaurant_Review-g188644-d1133830-Reviews-Noordzee_Mer_du_Nord-Brussels.html/;45, Rue Sainte-Catherine, Bruxelles 1000, Belgique ;02 513 11 92;4.5 5 étoiles;
Le Chou de Bruxelles;http://www.tripadvisor.fr/Restaurant_Review-g1136493-d1013936-Reviews-Le_Chou_de_Bruxelles-Ixelles_Brussels.html/;Rue de Florence 26, Ixelles, Bruxelles 1050, Belgique ;+32 2 537 69 95;4.5 5 étoiles;
C'est Bon C'est Belge;http://www.tripadvisor.fr/Restaurant_Review-g188644-d3741305-Reviews-C_est_Bon_C_est_Belge-Brussels.html/;Rue de Bon Secours 14-16 | Bruxelles, Bruxelles 1000, Belgique ;+32 2 512 19 99;4.5 5 étoiles;
Bia Mara;http://www.tripadvisor.fr/Restaurant_Review-g188644-d3600650-Reviews-Bia_Mara-Brussels.html/;Rue du Marche aux Poulets 41 | 1000 Brussels, Bruxelles, Belgique ;+32 2 502 00 61;4.5 5 étoiles;
Boulangerie Charli;http://www.tripadvisor.fr/Restaurant_Review-g188644-d2039559-Reviews-Boulangerie_Charli-Brussels.html/;34, rue Ste-Catherine, Bruxelles 1000, Belgique ;+32 (0)2 513 63 32;4.5 5 étoiles;
La Villa Lorraine;http://www.tripadvisor.fr/Restaurant_Review-g188644-d694768-Reviews-La_Villa_Lorraine-Brussels.html/;Avenue du Vivier d'Oie 75, Bruxelles 1000, Belgique ;02 374 31 63;4.5 5 étoiles;
Fin de Siècle;http://www.tripadvisor.fr/Restaurant_Review-g188644-d1852850-Reviews-Fin_de_Siecle-Brussels.html/;Rue des Chartreux 9, Bruxelles 1000, Belgique ;4.5 5 étoiles;
Il Pasticcio;http://www.tripadvisor.fr/Restaurant_Review-g188644-d814522-Reviews-Il_Pasticcio-Brussels.html/;Rue Marie de Bourgogne 3, Bruxelles 1050, Belgique ;2 512 62 52;4.5 5 étoiles;
Delicatessen;http://www.tripadvisor.fr/Restaurant_Review-g188644-d4741883-Reviews-Delicatessen-Brussels.html/;Rue Sainte-Catherine 17-19, Bruxelles 1000, Belgique ;+32 2 324 78 79;4.5 5 étoiles;
osteria pane e vino;http://www.tripadvisor.fr/Restaurant_Review-g188644-d7140973-Reviews-Osteria_pane_e_vino-Brussels.html/;48 Rue Archimede, Bruxelles 1000, Belgique ;+32 2 230 59 51;5.0 5 étoiles;
Alexandre;http://www.tripadvisor.fr/Restaurant_Review-g188644-d1969696-Reviews-Alexandre-Brussels.html/;164, rue du Midi, Bruxelles 1000, Belgique ;+32 2 502 40 55;4.5 5 étoiles;
