Restaurant; URL; Adresse; Tel; Note;
Chez Freddy | Jusqu'à 50 % de réduction;http://www.tripadvisor.fr/Restaurant_Review-g187234-d1234666-Reviews-Chez_Freddy-Nice_French_Riviera_Cote_d_Azur_Provence.html/;20-22 Cours Saleya | Vieux Nice, 06300 Nice, France ;+33 4 93 85 49 99;
Chez Freddy | Jusqu'à 50 % de réduction;http://www.tripadvisor.fr/Restaurant_Review-g187234-d1234666-Reviews-Chez_Freddy-Nice_French_Riviera_Cote_d_Azur_Provence.html/;20-22 Cours Saleya | Vieux Nice, 06300 Nice, France ;+33 4 93 85 49 99;
Le Séjour Café;http://www.tripadvisor.fr/Restaurant_Review-g187234-d3255993-Reviews-Le_Sejour_Cafe-Nice_French_Riviera_Cote_d_Azur_Provence.html/;11 Rue Grimaldi, 06000 Nice, France ;+33 4 93 27 37 84;4.5 5 étoiles;
La Route du Miam;http://www.tripadvisor.fr/Restaurant_Review-g187234-d1111880-Reviews-La_Route_du_Miam-Nice_French_Riviera_Cote_d_Azur_Provence.html/;1, rue Molière, Nice, France ;06 16 36 33 22;4.5 5 étoiles;
Jan;http://www.tripadvisor.fr/Restaurant_Review-g187234-d4975072-Reviews-Jan-Nice_French_Riviera_Cote_d_Azur_Provence.html/;12 Rue Lascaris, 06300 Nice, France ;+33 4 97 19 32 23;4.5 5 étoiles;
Arlequin Gelati Italiani;http://www.tripadvisor.fr/Restaurant_Review-g187234-d1592829-Reviews-Arlequin_Gelati_Italiani-Nice_French_Riviera_Cote_d_Azur_Provence.html/;9 Avenue Malaussena, 06000 Nice, France ;+33 4 93 04 69 88;4.5 5 étoiles;
Melodynice;http://www.tripadvisor.fr/Restaurant_Review-g187234-d2508314-Reviews-Melodynice-Nice_French_Riviera_Cote_d_Azur_Provence.html/;12 rue Dante, 06000 Nice, France ;0483552915;4.5 5 étoiles;
HANgoût Restaurant;http://www.tripadvisor.fr/Restaurant_Review-g187234-d4430082-Reviews-HANgout_Restaurant-Nice_French_Riviera_Cote_d_Azur_Provence.html/;5 Rue du Moulin | 06300, 06300 Nice, France ;+33 4 22 16 99 26;4.5 5 étoiles;
La Roustide;http://www.tripadvisor.fr/Restaurant_Review-g187234-d1401830-Reviews-La_Roustide-Nice_French_Riviera_Cote_d_Azur_Provence.html/;34 Rue Beaumont | Riquier/ acropolis, 06300 Nice, France ;04 93 89 69 60;4.5 5 étoiles;
Gelateria Azzurro;http://www.tripadvisor.fr/Restaurant_Review-g187234-d799491-Reviews-Gelateria_Azzurro-Nice_French_Riviera_Cote_d_Azur_Provence.html/;1 Rue Ste Reparate Vieux Nice, 06300 Nice, France ;+33 4 93 13 92 24;4.5 5 étoiles;
