Restaurant; URL; Adresse; Tel; Note;
Likeat;http://www.tripadvisor.fr/Restaurant_Review-g187791-d5777687-Reviews-Likeat-Rome_Lazio.html/;Corso Vittorio Emanuele II 310, 00186 Rome, Italie ;+39 349 706 1072;4.5 5 étoiles;
Co.So. Cocktails & Social;http://www.tripadvisor.fr/Restaurant_Review-g187791-d5605648-Reviews-Co_So_Cocktails_Social-Rome_Lazio.html/;Via Braccio da Montone 80, Rome, Italie ;0645435428;5.0 5 étoiles;
STREATART;http://www.tripadvisor.fr/Restaurant_Review-g187791-d7210796-Reviews-STREATART-Rome_Lazio.html/;Piazza Buenos Aires 19a 19b, 00198 Rome, Italie ;+39 06 9761 1623;5.0 5 étoiles;
Pinsere Roma;http://www.tripadvisor.fr/Restaurant_Review-g187791-d3570028-Reviews-Pinsere_Roma-Rome_Lazio.html/;Via Flavia, 98, 00187 Rome, Italie ;+39 06 4202 0924;4.5 5 étoiles;
La Porta Del Principe;http://www.tripadvisor.fr/Restaurant_Review-g187791-d3562615-Reviews-La_Porta_Del_Principe-Rome_Lazio.html/;Via Portuense, 1585, 00148 Rome, Italie ;0665001249;4.5 5 étoiles;
Panino Divino;http://www.tripadvisor.fr/Restaurant_Review-g187791-d4313663-Reviews-Panino_Divino-Rome_Lazio.html/;Via Dei Gracchi 11/a, 00192 Rome, Italie ;+39 06 3973 7803;4.5 5 étoiles;
Pizza Dai Cinque;http://www.tripadvisor.fr/Restaurant_Review-g187791-d6367220-Reviews-Pizza_Dai_Cinque-Rome_Lazio.html/;Via Cicerone 76/78, 00193 Rome, Italie ;063208731;5.0 5 étoiles;
I Vicini Bistrot;http://www.tripadvisor.fr/Restaurant_Review-g187791-d7097365-Reviews-I_Vicini_Bistrot-Rome_Lazio.html/;Via Di Torre Argentina 70, 00186 Rome, Italie ;+39 06 4555 5563;5.0 5 étoiles;
Gelateria La Romana Roma Ventisettembre;http://www.tripadvisor.fr/Restaurant_Review-g187791-d4492728-Reviews-Gelateria_La_Romana_Roma_Ventisettembre-Rome_Lazio.html/;via Venti Settembre 60, 00187 Rome, Italie ;+39 06 4202 0828;4.5 5 étoiles;
Gelateria Valentino;http://www.tripadvisor.fr/Restaurant_Review-g187791-d2313678-Reviews-Gelateria_Valentino-Rome_Lazio.html/;Via Del Lavatore, 96, 00187 Rome, Italie ;06.6783219;4.5 5 étoiles;
La Pizzetteria;http://www.tripadvisor.fr/Restaurant_Review-g187791-d3494494-Reviews-La_Pizzetteria-Rome_Lazio.html/;Via Vestricio Spurinna, 53 | Angolo Farmacia Scribonio Curione, 00100 Rome, Italie ;+39 06 7696 7895;5.0 5 étoiles;
La Prosciutteria;http://www.tripadvisor.fr/Restaurant_Review-g187791-d6216305-Reviews-La_Prosciutteria-Rome_Lazio.html/;Via Della Panetteria, 34 | Fontana Di Trevi, 00198 Rome, Italie ;+39 066786990;4.5 5 étoiles;
Angrypig Birretta e Porchetta;http://www.tripadvisor.fr/Restaurant_Review-g187791-d6603135-Reviews-Angrypig_Birretta_e_Porchetta-Rome_Lazio.html/;Via Tunisi, 38, 00192 Rome, Italie ;+39 06 6452 1633;5.0 5 étoiles;
La Gelateria Frigidarium;http://www.tripadvisor.fr/Restaurant_Review-g187791-d1536028-Reviews-La_Gelateria_Frigidarium-Rome_Lazio.html/;Via del Governo Vecchio, 112, 00186 Rome, Italie ;+39 334 995 1184;4.5 5 étoiles;
Bacio Di Puglia;http://www.tripadvisor.fr/Restaurant_Review-g187791-d6578187-Reviews-Bacio_Di_Puglia-Rome_Lazio.html/;Via Del Mascherino 59, 00193 Rome, Italie ;+39 06 6830 7697;4.5 5 étoiles;
Wonderful Ice Cream;http://www.tripadvisor.fr/Restaurant_Review-g187791-d5038694-Reviews-Wonderful_Ice_Cream-Rome_Lazio.html/;Via Nazionale 19A | Via Del Corso 74, 00184 Rome, Italie ;+39 06 487 1809;4.5 5 étoiles;
