Hotel; URL; Adresse; Note; Image
Sofitel Brussels Europe;http://www.tripadvisor.fr/Hotel_Review-g950780-d604560-Reviews-Sofitel_Brussels_Europe-Etterbeek_Brussels.html;Place Jourdan 1, Etterbeek, Bruxelles 1040, Belgique ;5.0 sur 5;
Aloft Brussels Schuman Hotel;http://www.tripadvisor.fr/Hotel_Review-g950780-d1752126-Reviews-Aloft_Brussels_Schuman_Hotel-Etterbeek_Brussels.html;Place Jean Rey, Etterbeek, Bruxelles 1040, Belgique ;3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/fe/1d/b6/guest-room-king-size.jpg
Hotel BLOOM;http://www.tripadvisor.fr/Hotel_Review-g1891930-d206690-Reviews-Hotel_BLOOM-Saint_Josse_ten_Noode_Brussels.html;Rue Royale 250, Saint-Josse-ten-Noode, Bruxelles 1210, Belgique ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/04/47/cc/4c/hotel-bloom.jpg
MEININGER Hotel Brussels City Center;http://www.tripadvisor.fr/Hotel_Review-g188644-d3533397-Reviews-MEININGER_Hotel_Brussels_City_Center-Brussels.html;Quai Du Hainaut 33, Bruxelles 1080, Belgique ;3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/04/08/14/bd/meininger-hotel-brussels.jpg
Novotel Brussels Centre;http://www.tripadvisor.fr/Hotel_Review-g188644-d232022-Reviews-Novotel_Brussels_Centre-Brussels.html;Rue de la Vierge Noire 32 | Brussels, Bruxelles 1000, Belgique ;3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/fd/d7/2e/guest-room.jpg
Sofitel Brussels Le Louise;http://www.tripadvisor.fr/Hotel_Review-g1136493-d604552-Reviews-Sofitel_Brussels_Le_Louise-Ixelles_Brussels.html;40 Avenue de la Toison d'Or, Ixelles, Bruxelles 1050, Belgique ;5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/03/a4/fa/85/sofitel-brussels-le-louise.jpg
The Hotel;http://www.tripadvisor.fr/Hotel_Review-g188644-d241754-Reviews-The_Hotel_Brussels-Brussels.html;38, Boulevard de Waterloo, Bruxelles 1000, Belgique ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/06/86/ba/a4/the-hotel-brussels.jpg
The Dominican;http://www.tripadvisor.fr/Hotel_Review-g188644-d677329-Reviews-The_Dominican-Brussels.html;Leopoldstraat / Rue Leopold 9 | Brussels, Bruxelles 1000, Belgique ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/fd/f2/94/deluxe-double-room.jpg
MAS Residence;http://www.tripadvisor.fr/Hotel_Review-g188644-d529444-Reviews-MAS_Residence-Brussels.html;Rue de Spa 14 | Brussels, Bruxelles 1000, Belgique ;http://media-cdn.tripadvisor.com/media/photo-o/04/29/1b/db/mas-residence.jpg;
Sheraton Brussels Hotel;http://www.tripadvisor.fr/Hotel_Review-g1891930-d206689-Reviews-Sheraton_Brussels_Hotel-Saint_Josse_ten_Noode_Brussels.html;Place Rogier 3, Saint-Josse-ten-Noode, Bruxelles 1210, Belgique ;4.0 sur 5;
Steigenberger Grandhotel Brussels;http://www.tripadvisor.fr/Hotel_Review-g188644-d228089-Reviews-Steigenberger_Grandhotel_Brussels-Brussels.html;Ave. Louise 71 | Elsene, Bruxelles 1050, Belgique ;5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/f6/fd/59/steigenberger-grandhotel.jpg
Made in Louise;http://www.tripadvisor.fr/Hotel_Review-g1136493-d1597888-Reviews-Made_in_Louise-Ixelles_Brussels.html;40 Rue Veydt, Ixelles, Bruxelles 1050, Belgique (Anciennement Louise Hotel);3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/03/d0/d5/c2/reception.jpg
Hotel Amigo;http://www.tripadvisor.fr/Hotel_Review-g188644-d196130-Reviews-Hotel_Amigo-Brussels.html;Rue de l'Amigo 1-3 | Brussels, Bruxelles 1000, Belgique (Anciennement Rocco Forte Hotel Amigo);5.0 sur 5;
Motel One;http://www.tripadvisor.fr/Hotel_Review-g188644-d6401593-Reviews-Motel_One-Brussels.html;Rue Royale 120, Bruxelles 1000, Belgique ;3.0 sur 5;
