Hotel; URL; Adresse; Note; Image
Artemide Hotel;http://www.tripadvisor.fr/Hotel_Review-g187791-d205044-Reviews-Artemide_Hotel-Rome_Lazio.html;Via Nazionale 22, 00184 Rome, Italie ;4.0 sur 5;
Relais 6;http://www.tripadvisor.fr/Hotel_Review-g187791-d1510499-Reviews-Relais_6-Rome_Lazio.html;Via Tolmino 6, 00198 Rome, Italie ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/02/a0/f2/17/filename-hotel-facade.jpg
Mercure Rome Colosseum Centre;http://www.tripadvisor.fr/Hotel_Review-g187791-d228939-Reviews-Mercure_Rome_Colosseum_Centre-Rome_Lazio.html;Via Labicana 144, 00184 Rome, Italie ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/06/fe/34/74/guest-room.jpg
Villa San Lorenzo Maria Hotel;http://www.tripadvisor.fr/Hotel_Review-g187791-d297048-Reviews-Villa_San_Lorenzo_Maria_Hotel-Rome_Lazio.html;Via dei Liguri 7, 00185 Rome, Italie ;3.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/9f/d1/de/villa-san-lorenzo-maria.jpg
Hotel Pulitzer Roma;http://www.tripadvisor.fr/Hotel_Review-g187791-d852315-Reviews-Hotel_Pulitzer_Roma-Rome_Lazio.html;Viale Marconi 905, 00146 Rome, Italie ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/06/ce/32/83/hotel-pulitzer-roma.jpg
Residenza Argentina;http://www.tripadvisor.fr/Hotel_Review-g187791-d531936-Reviews-Residenza_Argentina-Rome_Lazio.html;Via di Torre Argentina 47 | Largo Argentina, 00186 Rome, Italie ;3.0 sur 5;
Barocco Hotel;http://www.tripadvisor.fr/Hotel_Review-g187791-d203175-Reviews-Barocco_Hotel-Rome_Lazio.html;Piazza Barberini 9 | Entrance: Via della Purificazione, 4, 00187 Rome, Italie ;4.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/03/6d/7b/8b/junior-suite-light-sight.jpg
Portrait Roma;http://www.tripadvisor.fr/Hotel_Review-g187791-d601432-Reviews-Portrait_Roma-Rome_Lazio.html;Via Bocca di Leone, 23, 00187 Rome, Italie (Anciennement Portrait Suites);5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-w/01/88/5a/03/panoramic-terrace.jpg
Hotel dei Borgia;http://www.tripadvisor.fr/Hotel_Review-g187791-d4740502-Reviews-Hotel_dei_Borgia-Rome_Lazio.html;Via Palermo 20, 00184 Rome, Italie ;4.0 sur 5;
Sofitel Rome Villa Borghese;http://www.tripadvisor.fr/Hotel_Review-g187791-d229019-Reviews-Sofitel_Rome_Villa_Borghese-Rome_Lazio.html;Via Lombardia 47, 00187 Rome, Italie ;5.0 sur 5;http://media-cdn.tripadvisor.com/media/photo-o/01/bd/b4/af/hotel-facade.jpg
